"Description";"Native";"Bytes";"R-encoding"
"BOWLING";"🎳";"\xF0\x9F\x8E\xB3";"<ed><a0><bc><ed><be><b3>"
"BOY";"👦";"\xF0\x9F\x91\xA6";"<ed><a0><bd><ed><b1><a6>"
"BREAD";"🍞";"\xF0\x9F\x8D\x9E";"<ed><a0><bc><ed><bd><9e>"
"BRIDE WITH VEIL";"👰";"\xF0\x9F\x91\xB0";"<ed><a0><bd><ed><b1><b0>"
"BRIDGE AT NIGHT";"🌉";"\xF0\x9F\x8C\x89";"<ed><a0><bc><ed><bc><89>"
"BRIEFCASE";"💼";"\xF0\x9F\x92\xBC";"<ed><a0><bd><ed><b2><bc>"
"BROKEN HEART";"💔";"\xF0\x9F\x92\x94";"<ed><a0><bd><ed><b2><94>"
"BUG";"🐛";"\xF0\x9F\x90\x9B";"<ed><a0><bd><ed><b0><9b>"
"BUS";"🚌";"\xF0\x9F\x9A\x8C";"<ed><a0><bd><ed><ba><8c>"
"BUS STOP";"🚏";"\xF0\x9F\x9A\x8F";"<ed><a0><bd><ed><ba><8f>"
"BUST IN SILHOUETTE";"👤";"\xF0\x9F\x91\xA4";"<ed><a0><bd><ed><b1><a4>"
"BUSTS IN SILHOUETTE";"👥";"\xF0\x9F\x91\xA5";"<ed><a0><bd><ed><b1><a5>"
"CACTUS";"🌵";"\xF0\x9F\x8C\xB5";"<ed><a0><bc><ed><bc><b5>"
"CALENDAR";"📅";"\xF0\x9F\x93\x85";"<ed><a0><bd><ed><b3><85>"
"CAMERA";"📷";"\xF0\x9F\x93\xB7";"<ed><a0><bd><ed><b3><b7>"
"CANCER";"♋";"\xE2\x99\x8B";"<e2><99><8b>"
"CANDY";"🍬";"\xF0\x9F\x8D\xAC";"<ed><a0><bc><ed><bd><ac>"
"CAPRICORN";"♑";"\xE2\x99\x91";"<e2><99><91>"
"CARD INDEX";"📇";"\xF0\x9F\x93\x87";"<ed><a0><bd><ed><b3><87>"
"CAROUSEL HORSE";"🎠";"\xF0\x9F\x8E\xA0";"<ed><a0><bc><ed><be><a0>"
"CARP STREAMER";"🎏";"\xF0\x9F\x8E\x8F";"<ed><a0><bc><ed><be><8f>"
"CAT";"🐈";"\xF0\x9F\x90\x88";"<ed><a0><bd><ed><b0><88>"
"CAT FACE";"🐱";"\xF0\x9F\x90\xB1";"<ed><a0><bd><ed><b0><b1>"
"CAT FACE WITH TEARS OF JOY";"😹";"\xF0\x9F\x98\xB9";"<ed><a0><bd><ed><b8><b9>"
"CAT FACE WITH WRY SMILE";"😼";"\xF0\x9F\x98\xBC";"<ed><a0><bd><ed><b8><bc>"
"CHART WITH DOWNWARDS TREND";"📉";"\xF0\x9F\x93\x89";"<ed><a0><bd><ed><b3><89>"
"CHART WITH UPWARDS TREND";"📈";"\xF0\x9F\x93\x88";"<ed><a0><bd><ed><b3><88>"
"CHART WITH UPWARDS TREND AND YEN SIGN";"💹";"\xF0\x9F\x92\xB9";"<ed><a0><bd><ed><b2><b9>"
"CHEERING MEGAPHONE";"📣";"\xF0\x9F\x93\xA3";"<ed><a0><bd><ed><b3><a3>"
"CHEQUERED FLAG";"🏁";"\xF0\x9F\x8F\x81";"<ed><a0><bc><ed><bf><81>"
"CHERRIES";"🍒";"\xF0\x9F\x8D\x92";"<ed><a0><bc><ed><bd><92>"
"CHERRY BLOSSOM";"🌸";"\xF0\x9F\x8C\xB8";"<ed><a0><bc><ed><bc><b8>"
"CHESTNUT";"🌰";"\xF0\x9F\x8C\xB0";"<ed><a0><bc><ed><bc><b0>"
"CHICKEN";"🐔";"\xF0\x9F\x90\x94";"<ed><a0><bd><ed><b0><94>"
"CHILDREN CROSSING";"🚸";"\xF0\x9F\x9A\xB8";"<ed><a0><bd><ed><ba><b8>"
"CHOCOLATE BAR";"🍫";"\xF0\x9F\x8D\xAB";"<ed><a0><bc><ed><bd><ab>"
"CHRISTMAS TREE";"🎄";"\xF0\x9F\x8E\x84";"<ed><a0><bc><ed><be><84>"
"CHURCH";"⛪";"\xE2\x9B\xAA";"<e2><9b><aa>"
"CINEMA";"🎦";"\xF0\x9F\x8E\xA6";"<ed><a0><bc><ed><be><a6>"
"CIRCLED IDEOGRAPH ACCEPT";"🉑";"\xF0\x9F\x89\x91";"<ed><a0><bc><ed><b9><91>"
"CIRCLED IDEOGRAPH ADVANTAGE";"🉐";"\xF0\x9F\x89\x90";"<ed><a0><bc><ed><b9><90>"
"CIRCLED IDEOGRAPH CONGRATULATION";"㊗";"\xE3\x8A\x97";"<e3><8a><97>"
"CIRCLED IDEOGRAPH SECRET";"㊙";"\xE3\x8A\x99";"<e3><8a><99>"
"CIRCLED LATIN CAPITAL LETTER M";"Ⓜ";"\xE2\x93\x82";"<e2><93><82>"
"CIRCUS TENT";"🎪";"\xF0\x9F\x8E\xAA";"<ed><a0><bc><ed><be><aa>"
"CITYSCAPE AT DUSK";"🌆";"\xF0\x9F\x8C\x86";"<ed><a0><bc><ed><bc><86>"
"CLAPPER BOARD";"🎬";"\xF0\x9F\x8E\xAC";"<ed><a0><bc><ed><be><ac>"
"CLAPPING HANDS SIGN";"👏";"\xF0\x9F\x91\x8F";"<ed><a0><bd><ed><b1><8f>"
"CLINKING BEER MUGS";"🍻";"\xF0\x9F\x8D\xBB";"<ed><a0><bc><ed><bd><bb>"
"CLIPBOARD";"📋";"\xF0\x9F\x93\x8B";"<ed><a0><bd><ed><b3><8b>"
"CLOCK FACE EIGHT OCLOCK";"🕗";"\xF0\x9F\x95\x97";"<ed><a0><bd><ed><b5><97>"
"CLOCK FACE EIGHT-THIRTY";"🕣";"\xF0\x9F\x95\xA3";"<ed><a0><bd><ed><b5><a3>"
"CLOCK FACE ELEVEN OCLOCK";"🕚";"\xF0\x9F\x95\x9A";"<ed><a0><bd><ed><b5><9a>"
"CLOCK FACE ELEVEN-THIRTY";"🕦";"\xF0\x9F\x95\xA6";"<ed><a0><bd><ed><b5><a6>"
"CLOCK FACE FIVE OCLOCK";"🕔";"\xF0\x9F\x95\x94";"<ed><a0><bd><ed><b5><94>"
"CLOCK FACE FIVE-THIRTY";"🕠";"\xF0\x9F\x95\xA0";"<ed><a0><bd><ed><b5><a0>"
"CLOCK FACE FOUR OCLOCK";"🕓";"\xF0\x9F\x95\x93";"<ed><a0><bd><ed><b5><93>"
"CLOCK FACE FOUR-THIRTY";"🕟";"\xF0\x9F\x95\x9F";"<ed><a0><bd><ed><b5><9f>"
"CLOCK FACE NINE OCLOCK";"🕘";"\xF0\x9F\x95\x98";"<ed><a0><bd><ed><b5><98>"
"CLOCK FACE NINE-THIRTY";"🕤";"\xF0\x9F\x95\xA4";"<ed><a0><bd><ed><b5><a4>"
"CLOCK FACE ONE OCLOCK";"🕐";"\xF0\x9F\x95\x90";"<ed><a0><bd><ed><b5><90>"
"CLOCK FACE ONE-THIRTY";"🕜";"\xF0\x9F\x95\x9C";"<ed><a0><bd><ed><b5><9c>"
"CLOCK FACE SEVEN OCLOCK";"🕖";"\xF0\x9F\x95\x96";"<ed><a0><bd><ed><b5><96>"
"CLOCK FACE SEVEN-THIRTY";"🕢";"\xF0\x9F\x95\xA2";"<ed><a0><bd><ed><b5><a2>"
"CLOCK FACE SIX OCLOCK";"🕕";"\xF0\x9F\x95\x95";"<ed><a0><bd><ed><b5><95>"
"CLOCK FACE SIX-THIRTY";"🕡";"\xF0\x9F\x95\xA1";"<ed><a0><bd><ed><b5><a1>"
"CLOCK FACE TEN OCLOCK";"🕙";"\xF0\x9F\x95\x99";"<ed><a0><bd><ed><b5><99>"
"CLOCK FACE TEN-THIRTY";"🕥";"\xF0\x9F\x95\xA5";"<ed><a0><bd><ed><b5><a5>"
"CLOCK FACE THREE OCLOCK";"🕒";"\xF0\x9F\x95\x92";"<ed><a0><bd><ed><b5><92>"
"CLOCK FACE THREE-THIRTY";"🕞";"\xF0\x9F\x95\x9E";"<ed><a0><bd><ed><b5><9e>"
"CLOCK FACE TWELVE OCLOCK";"🕛";"\xF0\x9F\x95\x9B";"<ed><a0><bd><ed><b5><9b>"
"CLOCK FACE TWELVE-THIRTY";"🕧";"\xF0\x9F\x95\xA7";"<ed><a0><bd><ed><b5><a7>"
"CLOCK FACE TWO OCLOCK";"🕑";"\xF0\x9F\x95\x91";"<ed><a0><bd><ed><b5><91>"
"CLOCK FACE TWO-THIRTY";"🕝";"\xF0\x9F\x95\x9D";"<ed><a0><bd><ed><b5><9d>"
"CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS";"🔃";"\xF0\x9F\x94\x83";"<ed><a0><bd><ed><b4><83>"
"CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS";"🔁";"\xF0\x9F\x94\x81";"<ed><a0><bd><ed><b4><81>"
"CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY";"🔂";"\xF0\x9F\x94\x82";"<ed><a0><bd><ed><b4><82>"
"CLOSED BOOK";"📕";"\xF0\x9F\x93\x95";"<ed><a0><bd><ed><b3><95>"
"CLOSED LOCK WITH KEY";"🔐";"\xF0\x9F\x94\x90";"<ed><a0><bd><ed><b4><90>"
"CLOSED MAILBOX WITH LOWERED FLAG";"📪";"\xF0\x9F\x93\xAA";"<ed><a0><bd><ed><b3><aa>"
"CLOSED MAILBOX WITH RAISED FLAG";"📫";"\xF0\x9F\x93\xAB";"<ed><a0><bd><ed><b3><ab>"
"CLOSED UMBRELLA";"🌂";"\xF0\x9F\x8C\x82";"<ed><a0><bc><ed><bc><82>"
"CLOUD";"☁";"\xE2\x98\x81";"<e2><98><81>"
"COCKTAIL GLASS";"🍸";"\xF0\x9F\x8D\xB8";"<ed><a0><bc><ed><bd><b8>"
"COLLISION SYMBOL";"💥";"\xF0\x9F\x92\xA5";"<ed><a0><bd><ed><b2><a5>"
"CONFETTI BALL";"🎊";"\xF0\x9F\x8E\x8A";"<ed><a0><bc><ed><be><8a>"
"CONFOUNDED FACE";"😖";"\xF0\x9F\x98\x96";"<ed><a0><bd><ed><b8><96>"
"CONFUSED FACE";"😕";"\xF0\x9F\x98\x95";"<ed><a0><bd><ed><b8><95>"
"CONSTRUCTION SIGN";"🚧";"\xF0\x9F\x9A\xA7";"<ed><a0><bd><ed><ba><a7>"
"CONSTRUCTION WORKER";"👷";"\xF0\x9F\x91\xB7";"<ed><a0><bd><ed><b1><b7>"
"CONVENIENCE STORE";"🏪";"\xF0\x9F\x8F\xAA";"<ed><a0><bc><ed><bf><aa>"
"COOKED RICE";"🍚";"\xF0\x9F\x8D\x9A";"<ed><a0><bc><ed><bd><9a>"
"COOKIE";"🍪";"\xF0\x9F\x8D\xAA";"<ed><a0><bc><ed><bd><aa>"
"COOKING";"🍳";"\xF0\x9F\x8D\xB3";"<ed><a0><bc><ed><bd><b3>"
"COPYRIGHT SIGN";"©";"\xC2\xA9";"<c2><a9>"
"COUPLE WITH HEART";"💑";"\xF0\x9F\x92\x91";"<ed><a0><bd><ed><b2><91>"
"COW";"🐄";"\xF0\x9F\x90\x84";"<ed><a0><bd><ed><b0><84>"
"COW FACE";"🐮";"\xF0\x9F\x90\xAE";"<ed><a0><bd><ed><b0><ae>"
"CREDIT CARD";"💳";"\xF0\x9F\x92\xB3";"<ed><a0><bd><ed><b2><b3>"
"CRESCENT MOON";"🌙";"\xF0\x9F\x8C\x99";"<ed><a0><bc><ed><bc><99>"
"CROCODILE";"🐊";"\xF0\x9F\x90\x8A";"<ed><a0><bd><ed><b0><8a>"
"CROSS MARK";"❌";"\xE2\x9D\x8C";"<e2><9d><8c>"
"CROSSED FLAGS";"🎌";"\xF0\x9F\x8E\x8C";"<ed><a0><bc><ed><be><8c>"
"CROWN";"👑";"\xF0\x9F\x91\x91";"<ed><a0><bd><ed><b1><91>"
"CRYING CAT FACE";"😿";"\xF0\x9F\x98\xBF";"<ed><a0><bd><ed><b8><bf>"
"CRYING FACE";"😢";"\xF0\x9F\x98\xA2";"<ed><a0><bd><ed><b8><a2>"
"CRYSTAL BALL";"🔮";"\xF0\x9F\x94\xAE";"<ed><a0><bd><ed><b4><ae>"
"CURLY LOOP";"➰";"\xE2\x9E\xB0";"<e2><9e><b0>"
"CURRENCY EXCHANGE";"💱";"\xF0\x9F\x92\xB1";"<ed><a0><bd><ed><b2><b1>"
"CURRY AND RICE";"🍛";"\xF0\x9F\x8D\x9B";"<ed><a0><bc><ed><bd><9b>"
"CUSTARD";"🍮";"\xF0\x9F\x8D\xAE";"<ed><a0><bc><ed><bd><ae>"
"CUSTOMS";"🛃";"\xF0\x9F\x9B\x83";"<ed><a0><bd><ed><bb><83>"
"CYCLONE";"🌀";"\xF0\x9F\x8C\x80";"<ed><a0><bc><ed><bc><80>"
"DANCER";"💃";"\xF0\x9F\x92\x83";"<ed><a0><bd><ed><b2><83>"
"DANGO";"🍡";"\xF0\x9F\x8D\xA1";"<ed><a0><bc><ed><bd><a1>"
"DASH SYMBOL";"💨";"\xF0\x9F\x92\xA8";"<ed><a0><bd><ed><b2><a8>"
"DECIDUOUS TREE";"🌳";"\xF0\x9F\x8C\xB3";"<ed><a0><bc><ed><bc><b3>"
"DELIVERY TRUCK";"🚚";"\xF0\x9F\x9A\x9A";"<ed><a0><bd><ed><ba><9a>"
"DEPARTMENT STORE";"🏬";"\xF0\x9F\x8F\xAC";"<ed><a0><bc><ed><bf><ac>"
"DIAMOND SHAPE WITH A DOT INSIDE";"💠";"\xF0\x9F\x92\xA0";"<ed><a0><bd><ed><b2><a0>"
"DIGIT EIGHT + COMBINING ENCLOSING KEYCAP";"8⃣";"\x38\xE2\x83\xA3";"8<e2><83><a3>"
"DIGIT FIVE + COMBINING ENCLOSING KEYCAP";"5⃣";"\x35\xE2\x83\xA3";"5<e2><83><a3>"
"DIGIT FOUR + COMBINING ENCLOSING KEYCAP";"4⃣";"\x34\xE2\x83\xA3";"4<e2><83><a3>"
"DIGIT NINE + COMBINING ENCLOSING KEYCAP";"9⃣";"\x39\xE2\x83\xA3";"9<e2><83><a3>"
"DIGIT ONE + COMBINING ENCLOSING KEYCAP";"1⃣";"\x31\xE2\x83\xA3";"1<e2><83><a3>"
"DIGIT SEVEN + COMBINING ENCLOSING KEYCAP";"7⃣";"\x37\xE2\x83\xA3";"7<e2><83><a3>"
"DIGIT SIX + COMBINING ENCLOSING KEYCAP";"6⃣";"\x36\xE2\x83\xA3";"6<e2><83><a3>"
"DIGIT THREE + COMBINING ENCLOSING KEYCAP";"3⃣";"\x33\xE2\x83\xA3";"3<e2><83><a3>"
"DIGIT TWO + COMBINING ENCLOSING KEYCAP";"2⃣";"\x32\xE2\x83\xA3";"2<e2><83><a3>"
"DIGIT ZERO + COMBINING ENCLOSING KEYCAP";"0⃣";"\x30\xE2\x83\xA3";"0<e2><83><a3>"
"DIRECT HIT";"🎯";"\xF0\x9F\x8E\xAF";"<ed><a0><bc><ed><be><af>"
"DISAPPOINTED BUT RELIEVED FACE";"😥";"\xF0\x9F\x98\xA5";"<ed><a0><bd><ed><b8><a5>"
"DISAPPOINTED FACE";"😞";"\xF0\x9F\x98\x9E";"<ed><a0><bd><ed><b8><9e>"
"DIZZY FACE";"😵";"\xF0\x9F\x98\xB5";"<ed><a0><bd><ed><b8><b5>"
"DIZZY SYMBOL";"💫";"\xF0\x9F\x92\xAB";"<ed><a0><bd><ed><b2><ab>"
"DO NOT LITTER SYMBOL";"🚯";"\xF0\x9F\x9A\xAF";"<ed><a0><bd><ed><ba><af>"
"DOG";"🐕";"\xF0\x9F\x90\x95";"<ed><a0><bd><ed><b0><95>"
"DOG FACE";"🐶";"\xF0\x9F\x90\xB6";"<ed><a0><bd><ed><b0><b6>"
"DOLPHIN";"🐬";"\xF0\x9F\x90\xAC";"<ed><a0><bd><ed><b0><ac>"
"DOOR";"🚪";"\xF0\x9F\x9A\xAA";"<ed><a0><bd><ed><ba><aa>"
"DOUBLE EXCLAMATION MARK";"‼";"\xE2\x80\xBC";"<e2><80><bc>"
"DOUGHNUT";"🍩";"\xF0\x9F\x8D\xA9";"<ed><a0><bc><ed><bd><a9>"
"DOWN-POINTING RED TRIANGLE";"🔻";"\xF0\x9F\x94\xBB";"<ed><a0><bd><ed><b4><bb>"
"DOWN-POINTING SMALL RED TRIANGLE";"🔽";"\xF0\x9F\x94\xBD";"<ed><a0><bd><ed><b4><bd>"
"DOWNWARDS BLACK ARROW";"⬇";"\xE2\xAC\x87";"<e2><ac><87>"
"DRAGON";"🐉";"\xF0\x9F\x90\x89";"<ed><a0><bd><ed><b0><89>"
"DRAGON FACE";"🐲";"\xF0\x9F\x90\xB2";"<ed><a0><bd><ed><b0><b2>"
"DRESS";"👗";"\xF0\x9F\x91\x97";"<ed><a0><bd><ed><b1><97>"
"DROMEDARY CAMEL";"🐪";"\xF0\x9F\x90\xAA";"<ed><a0><bd><ed><b0><aa>"
"DROPLET";"💧";"\xF0\x9F\x92\xA7";"<ed><a0><bd><ed><b2><a7>"
"DVD";"📀";"\xF0\x9F\x93\x80";"<ed><a0><bd><ed><b3><80>"
"E-MAIL SYMBOL";"📧";"\xF0\x9F\x93\xA7";"<ed><a0><bd><ed><b3><a7>"
"EAR";"👂";"\xF0\x9F\x91\x82";"<ed><a0><bd><ed><b1><82>"
"EAR OF MAIZE";"🌽";"\xF0\x9F\x8C\xBD";"<ed><a0><bc><ed><bc><bd>"
"EAR OF RICE";"🌾";"\xF0\x9F\x8C\xBE";"<ed><a0><bc><ed><bc><be>"
"EARTH GLOBE AMERICAS";"🌎";"\xF0\x9F\x8C\x8E";"<ed><a0><bc><ed><bc><8e>"
"EARTH GLOBE ASIA-AUSTRALIA";"🌏";"\xF0\x9F\x8C\x8F";"<ed><a0><bc><ed><bc><8f>"
"EARTH GLOBE EUROPE-AFRICA";"🌍";"\xF0\x9F\x8C\x8D";"<ed><a0><bc><ed><bc><8d>"
"EIGHT POINTED BLACK STAR";"✴";"\xE2\x9C\xB4";"<e2><9c><b4>"
"EIGHT SPOKED ASTERISK";"✳";"\xE2\x9C\xB3";"<e2><9c><b3>"
"ELECTRIC LIGHT BULB";"💡";"\xF0\x9F\x92\xA1";"<ed><a0><bd><ed><b2><a1>"
"ELECTRIC PLUG";"🔌";"\xF0\x9F\x94\x8C";"<ed><a0><bd><ed><b4><8c>"
